year,fg,bin,bin_midpoint,bin_min,bin_max,richness,n_individuals,richness_by_bin_width
1995,all,1,1.1667354135923118,1,1.3334708271846236,205,21024,614.7464284379613
1995,all,2,1.555807637068534,1.3334708271846236,1.7781444469524443,202,18600,454.26576036930436
1995,all,3,2.0746240967419327,1.7781444469524443,2.371103746531421,207,20439,349.0964728050944
1995,all,4,2.766450710379617,2.371103746531421,3.161797674227814,218,18042,275.707188791902
1995,all,5,3.6889813171353985,3.161797674227814,4.216164960042983,215,15124,203.9137622083711
1995,all,6,4.9191489684291625,4.216164960042983,5.622132976815341,207,11061,147.22952267093825
1995,all,7,6.5595416439756224,5.622132976815341,7.496950311135904,213,7891,113.61106818291266
1995,all,8,8.74695742194416,7.496950311135904,9.996964532752415,200,6369,79.9995449108605
1995,all,9,11.66381254878856,9.996964532752415,13.330660564824704,178,5027,53.39419019836424
1995,all,10,15.553353767559475,13.330660564824704,17.776046970294246,170,2907,38.2418949657187
1995,all,11,20.73994351392262,17.776046970294246,23.703840057550995,142,2157,23.95495219043053
1995,all,12,27.656109633272763,23.703840057550995,31.60837920899453,129,1609,16.319736992692594
1995,all,13,36.87861538938886,31.60837920899453,42.14885156978319,110,1145,10.43596493921925
1995,all,14,49.17655776871196,42.14885156978319,56.20426396764072,82,794,5.834051515450324
1995,all,15,65.57550516593678,56.20426396764072,74.94674636423284,67,472,3.5747665961357598
1995,all,16,87.44302311667127,74.94674636423284,99.93929986910972,45,212,1.80053630739328
1995,all,17,116.60272036691177,99.93929986910972,133.26614086471383,23,72,0.6901344175715229
1995,all,18,155.48632597964314,133.26614086471383,177.70651109457248,9,23,0.20251856484204245
1995,all,19,207.33647971997289,177.70651109457248,236.96644834537327,5,11,0.08437403466761913
1995,all,20,276.47714711774023,236.96644834537327,315.98784589010717,2,3,0.025309600464453984
1995,fg1,1,1.1667354135923118,1,1.3334708271846236,36,972,107.95547035983712
1995,fg1,2,1.555807637068534,1.3334708271846236,1.7781444469524443,38,762,85.45593511897805
1995,fg1,3,2.0746240967419327,1.7781444469524443,2.371103746531421,38,892,64.08534283378545
1995,fg1,4,2.766450710379617,2.371103746531421,3.161797674227814,41,822,51.85318688288066
1995,fg1,5,3.6889813171353985,3.161797674227814,4.216164960042983,43,909,40.78275244167422
1995,fg1,6,4.9191489684291625,4.216164960042983,5.622132976815341,42,804,29.872656773813556
1995,fg1,7,6.5595416439756224,5.622132976815341,7.496950311135904,45,652,24.002338348502676
1995,fg1,8,8.74695742194416,7.496950311135904,9.996964532752415,42,701,16.7999044312807
1995,fg1,9,11.66381254878856,9.996964532752415,13.330660564824704,38,640,11.39875970526877
1995,fg1,10,15.553353767559475,13.330660564824704,17.776046970294246,38,482,8.548188286454767
1995,fg1,11,20.73994351392262,17.776046970294246,23.703840057550995,35,424,5.904389624401891
1995,fg1,12,27.656109633272763,23.703840057550995,31.60837920899453,32,335,4.048306850900488
1995,fg1,13,36.87861538938886,31.60837920899453,42.14885156978319,28,270,2.656427439073991
1995,fg1,14,49.17655776871196,42.14885156978319,56.20426396764072,21,146,1.4940863637128878
1995,fg1,15,65.57550516593678,56.20426396764072,74.94674636423284,14,66,0.7469661544164274
1995,fg1,16,87.44302311667127,74.94674636423284,99.93929986910972,7,15,0.2800834255945102
1995,fg1,17,116.60272036691177,99.93929986910972,133.26614086471383,3,5,0.09001753272672039
1995,fg1,18,155.48632597964314,133.26614086471383,177.70651109457248,1,1,0.022502062760226937
1995,fg1,19,207.33647971997289,177.70651109457248,236.96644834537327,0,0,0
1995,fg1,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0
1995,fg2,1,1.1667354135923118,1,1.3334708271846236,36,861,107.95547035983712
1995,fg2,2,1.555807637068534,1.3334708271846236,1.7781444469524443,33,854,74.21173312963883
1995,fg2,3,2.0746240967419327,1.7781444469524443,2.371103746531421,38,1059,64.08534283378545
1995,fg2,4,2.766450710379617,2.371103746531421,3.161797674227814,42,1058,53.11789875807287
1995,fg2,5,3.6889813171353985,3.161797674227814,4.216164960042983,42,1061,39.83431633837947
1995,fg2,6,4.9191489684291625,4.216164960042983,5.622132976815341,42,915,29.872656773813556
1995,fg2,7,6.5595416439756224,5.622132976815341,7.496950311135904,49,812,26.135879535036246
1995,fg2,8,8.74695742194416,7.496950311135904,9.996964532752415,48,730,19.199890778606516
1995,fg2,9,11.66381254878856,9.996964532752415,13.330660564824704,46,753,13.798498590588512
1995,fg2,10,15.553353767559475,13.330660564824704,17.776046970294246,46,661,10.347806873076824
1995,fg2,11,20.73994351392262,17.776046970294246,23.703840057550995,41,602,6.916570702870787
1995,fg2,12,27.656109633272763,23.703840057550995,31.60837920899453,44,504,5.566421919988171
1995,fg2,13,36.87861538938886,31.60837920899453,42.14885156978319,45,361,4.269258384226057
1995,fg2,14,49.17655776871196,42.14885156978319,56.20426396764072,34,356,2.418996969820866
1995,fg2,15,65.57550516593678,56.20426396764072,74.94674636423284,33,289,1.7607059354101504
1995,fg2,16,87.44302311667127,74.94674636423284,99.93929986910972,25,168,1.0002979485518222
1995,fg2,17,116.60272036691177,99.93929986910972,133.26614086471383,15,60,0.4500876636336019
1995,fg2,18,155.48632597964314,133.26614086471383,177.70651109457248,5,19,0.11251031380113469
1995,fg2,19,207.33647971997289,177.70651109457248,236.96644834537327,4,10,0.06749922773409531
1995,fg2,20,276.47714711774023,236.96644834537327,315.98784589010717,2,3,0.025309600464453984
1995,fg3,1,1.1667354135923118,1,1.3334708271846236,58,14419,173.9282578019598
1995,fg3,2,1.555807637068534,1.3334708271846236,1.7781444469524443,59,13010,132.68158347420277
1995,fg3,3,2.0746240967419327,1.7781444469524443,2.371103746531421,59,14374,99.50092703140372
1995,fg3,4,2.766450710379617,2.371103746531421,3.161797674227814,59,12895,74.61800063634045
1995,fg3,5,3.6889813171353985,3.161797674227814,4.216164960042983,60,10631,56.90616619768496
1995,fg3,6,4.9191489684291625,4.216164960042983,5.622132976815341,58,7379,41.2527164971711
1995,fg3,7,6.5595416439756224,5.622132976815341,7.496950311135904,62,4883,33.069888391270354
1995,fg3,8,8.74695742194416,7.496950311135904,9.996964532752415,54,3483,21.59987712593233
1995,fg3,9,11.66381254878856,9.996964532752415,13.330660564824704,45,2315,13.498531229923543
1995,fg3,10,15.553353767559475,13.330660564824704,17.776046970294246,37,1211,8.323235963127011
1995,fg3,11,20.73994351392262,17.776046970294246,23.703840057550995,32,831,5.398299085167443
1995,fg3,12,27.656109633272763,23.703840057550995,31.60837920899453,24,651,3.036230138175366
1995,fg3,13,36.87861538938886,31.60837920899453,42.14885156978319,22,454,2.08719298784385
1995,fg3,14,49.17655776871196,42.14885156978319,56.20426396764072,13,229,0.9249106061079783
1995,fg3,15,65.57550516593678,56.20426396764072,74.94674636423284,11,77,0.5869019784700501
1995,fg3,16,87.44302311667127,74.94674636423284,99.93929986910972,7,18,0.2800834255945102
1995,fg3,17,116.60272036691177,99.93929986910972,133.26614086471383,3,3,0.09001753272672039
1995,fg3,18,155.48632597964314,133.26614086471383,177.70651109457248,1,1,0.022502062760226937
1995,fg3,19,207.33647971997289,177.70651109457248,236.96644834537327,0,0,0
1995,fg3,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0
1995,fg4,1,1.1667354135923118,1,1.3334708271846236,34,3023,101.95794422873506
1995,fg4,2,1.555807637068534,1.3334708271846236,1.7781444469524443,30,2323,67.4652119360353
1995,fg4,3,2.0746240967419327,1.7781444469524443,2.371103746531421,30,2136,50.59369171088325
1995,fg4,4,2.766450710379617,2.371103746531421,3.161797674227814,27,1377,34.1472206301897
1995,fg4,5,3.6889813171353985,3.161797674227814,4.216164960042983,23,740,21.814030375779232
1995,fg4,6,4.9191489684291625,4.216164960042983,5.622132976815341,15,401,10.668805990647698
1995,fg4,7,6.5595416439756224,5.622132976815341,7.496950311135904,12,173,6.400623559600714
1995,fg4,8,8.74695742194416,7.496950311135904,9.996964532752415,10,128,3.9999772455430245
1995,fg4,9,11.66381254878856,9.996964532752415,13.330660564824704,8,90,2.3997388853197412
1995,fg4,10,15.553353767559475,13.330660564824704,17.776046970294246,7,52,1.5746662632942994
1995,fg4,11,20.73994351392262,17.776046970294246,23.703840057550995,6,14,1.0121810784688956
1995,fg4,12,27.656109633272763,23.703840057550995,31.60837920899453,1,1,0.12650958909064025
1995,fg4,13,36.87861538938886,31.60837920899453,42.14885156978319,0,0,0
1995,fg4,14,49.17655776871196,42.14885156978319,56.20426396764072,0,0,0
1995,fg4,15,65.57550516593678,56.20426396764072,74.94674636423284,0,0,0
1995,fg4,16,87.44302311667127,74.94674636423284,99.93929986910972,0,0,0
1995,fg4,17,116.60272036691177,99.93929986910972,133.26614086471383,0,0,0
1995,fg4,18,155.48632597964314,133.26614086471383,177.70651109457248,0,0,0
1995,fg4,19,207.33647971997289,177.70651109457248,236.96644834537327,0,0,0
1995,fg4,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0
1995,fg5,1,1.1667354135923118,1,1.3334708271846236,39,1577,116.9517595564902
1995,fg5,2,1.555807637068534,1.3334708271846236,1.7781444469524443,41,1481,92.20245631258157
1995,fg5,3,2.0746240967419327,1.7781444469524443,2.371103746531421,39,1781,65.771799224148225
1995,fg5,4,2.766450710379617,2.371103746531421,3.161797674227814,42,1667,53.11789875807287
1995,fg5,5,3.6889813171353985,3.161797674227814,4.216164960042983,39,1490,36.98900802849522
1995,fg5,6,4.9191489684291625,4.216164960042983,5.622132976815341,44,1287,31.295164239233248
1995,fg5,7,6.5595416439756224,5.622132976815341,7.496950311135904,41,1002,21.868797161969106
1995,fg5,8,8.74695742194416,7.496950311135904,9.996964532752415,43,865,17.199902155835005
1995,fg5,9,11.66381254878856,9.996964532752415,13.330660564824704,37,703,11.098792344603803
1995,fg5,10,15.553353767559475,13.330660564824704,17.776046970294246,38,417,8.548188286454767
1995,fg5,11,20.73994351392262,17.776046970294246,23.703840057550995,25,271,4.217421160287065
1995,fg5,12,27.656109633272763,23.703840057550995,31.60837920899453,28,118,3.542268494537927
1995,fg5,13,36.87861538938886,31.60837920899453,42.14885156978319,13,51,1.2333413109986386
1995,fg5,14,49.17655776871196,42.14885156978319,56.20426396764072,10,56,0.711469697006137
1995,fg5,15,65.57550516593678,56.20426396764072,74.94674636423284,7,37,0.3734830772082137
1995,fg5,16,87.44302311667127,74.94674636423284,99.93929986910972,5,10,0.20005958971036447
1995,fg5,17,116.60272036691177,99.93929986910972,133.26614086471383,2,4,0.060011688484480255
1995,fg5,18,155.48632597964314,133.26614086471383,177.70651109457248,0,0,0
1995,fg5,19,207.33647971997289,177.70651109457248,236.96644834537327,0,0,0
1995,fg5,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0
1995,unclassified,1,1.1667354135923118,1,1.3334708271846236,2,172,5.997526131102062
1995,unclassified,2,1.555807637068534,1.3334708271846236,1.7781444469524443,1,170,2.248840397867843
1995,unclassified,3,2.0746240967419327,1.7781444469524443,2.371103746531421,3,197,5.059369171088324
1995,unclassified,4,2.766450710379617,2.371103746531421,3.161797674227814,7,223,8.852983126345478
1995,unclassified,5,3.6889813171353985,3.161797674227814,4.216164960042983,8,293,7.587488826357994
1995,unclassified,6,4.9191489684291625,4.216164960042983,5.622132976815341,6,275,4.267522396259079
1995,unclassified,7,6.5595416439756224,5.622132976815341,7.496950311135904,4,369,2.1335411865335714
1995,unclassified,8,8.74695742194416,7.496950311135904,9.996964532752415,3,462,1.1999931736629073
1995,unclassified,9,11.66381254878856,9.996964532752415,13.330660564824704,4,526,1.1998694426598706
1995,unclassified,10,15.553353767559475,13.330660564824704,17.776046970294246,4,84,0.8998092933110282
1995,unclassified,11,20.73994351392262,17.776046970294246,23.703840057550995,3,15,0.5060905392344478
1995,unclassified,12,27.656109633272763,23.703840057550995,31.60837920899453,0,0,0
1995,unclassified,13,36.87861538938886,31.60837920899453,42.14885156978319,2,9,0.18974481707671365
1995,unclassified,14,49.17655776871196,42.14885156978319,56.20426396764072,4,7,0.28458787880245484
1995,unclassified,15,65.57550516593678,56.20426396764072,74.94674636423284,2,3,0.1067094506309182
1995,unclassified,16,87.44302311667127,74.94674636423284,99.93929986910972,1,1,0.04001191794207289
1995,unclassified,17,116.60272036691177,99.93929986910972,133.26614086471383,0,0,0
1995,unclassified,18,155.48632597964314,133.26614086471383,177.70651109457248,2,2,0.04500412552045387
1995,unclassified,19,207.33647971997289,177.70651109457248,236.96644834537327,1,1,0.016874806933523827
1995,unclassified,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0
