"parameter","fg","year","mean","se_mean","sd","q025","q25","q50","q75","q975","n_eff","Rhat"
"A","fg1",1995,0.274233210666667,0.000335956397080929,0.0126191875401579,0.250837175,0.26540575,0.273986,0.28264,0.299684175,1410.90235765001,1.00000624112314
"b","fg1",1995,0.652456844,0.000136091825528707,0.00638790112597733,0.63943585,0.6483105,0.652505,0.656887,0.664907025,2203.19172272538,1.00023684484623
"k","fg1",1995,0.0130439020666667,1.87526078461651e-05,0.000720433927562912,0.011721345,0.012548275,0.0130167,0.013499625,0.01450701,1475.92731525421,0.999936420455671
"x_max","fg1",1995,58.4400236666667,0.0828059720401669,3.22443583720356,52.3839175,56.288225,58.3601,60.598725,64.8096325,1516.29659422415,1.00001784887378
"y_max","fg1",1995,0.0919833970333333,0.000101381762245229,0.00389748127368357,0.084760595,0.089393775,0.0918767,0.094532775,0.099933255,1477.9114113376,1.00035050297369
"log_slope","fg1",1995,1.00127887366667,0.000306302781710544,0.0143929639036238,0.972168675,0.991889,1.00131,1.0112225,1.02955475,2207.99756765915,1.0002298640105
"A","fg2",1995,0.225171432666667,0.000279874748780204,0.00918977026216053,0.2082598,0.21875375,0.2248085,0.23121675,0.2441949,1078.15667350591,1.0020025299291
"b","fg2",1995,0.657234507333333,0.000120630058831356,0.00479488155790432,0.647866975,0.65411375,0.6573105,0.66037125,0.666673475,1579.95489340376,1.00079133984132
"k","fg2",1995,0.01067546988,1.44577552157943e-05,0.000486450081689284,0.009741677,0.010345325,0.01066835,0.010993475,0.011665515,1132.07402671808,1.00191525554217
"x_max","fg2",1995,71.1702881,0.0945984439044395,3.21691494161133,65.0593,68.993125,71.07525,73.269625,77.8095325,1156.40822163194,1.00173519961284
"y_max","fg2",1995,0.0746238988333333,7.85702836264633e-05,0.00261305926360789,0.0697292025,0.072788025,0.07453065,0.076365625,0.07994519,1106.06812611932,1.00178151904835
"log_slope","fg2",1995,1.01205702466667,0.000273905673957871,0.0108921925541618,0.990897725,1.00494,1.012185,1.01916,1.033631,1581.35203946876,1.00078139190031
"A","fg3",1995,0.147807895333333,0.000179928041448471,0.00491115128444351,0.138558875,0.14443925,0.147688,0.15107125,0.15789745,745.021695261781,1.003287759725
"b","fg3",1995,0.594662679,0.000142640792328903,0.00401787036982636,0.5867984,0.5919195,0.594568,0.59740675,0.60246215,793.422215775315,1.0031474092695
"k","fg3",1995,0.00977697199,1.03812185099768e-05,0.00029301518426049,0.00921037075,0.0095753175,0.00977701,0.00997182,0.010359705,796.679400594385,1.00264143029275
"x_max","fg3",1995,79.9737408333333,0.0798561677945664,2.27426064231265,75.6367325,78.439225,79.91885,81.49705,84.5147875,811.079717393975,1.002497585635
"y_max","fg3",1995,0.056951466,5.07748219123232e-05,0.00139291981770076,0.0543426275,0.05599635,0.0569209,0.0578828,0.0597534075,752.584755634637,1.00319398836561
"log_slope","fg3",1995,0.876847455333333,0.000293448088985171,0.00826425244145794,0.8607448,0.87119275,0.876628,0.8824765,0.892956525,793.130367056477,1.00314384622513
"A","fg4",1995,0.1111868899,0.00106075771859575,0.02357582134129,0.0781185025,0.095124175,0.106474,0.12244725,0.1677618,493.970782940148,1.00495882710006
"b","fg4",1995,0.538951968,0.00115040288019822,0.0277156078917021,0.490005325,0.519606,0.5361625,0.55586675,0.599649175,580.428723739468,1.00444678708123
"k","fg4",1995,0.00970670139,6.40035559354721e-05,0.00159946376088205,0.0066998715,0.0086171775,0.009672065,0.01073585,0.01306706,624.511733857307,1.00446600011717
"x_max","fg4",1995,84.7875314333333,0.577672325664567,13.6810867948161,62.6299025,75.247625,83.0026,92.2844,117.0052,560.890483320192,1.00445508909198
"y_max","fg4",1995,0.0479169804666667,0.000305800266268087,0.00692326093260048,0.0376599475,0.04314915,0.04671665,0.0515114,0.0643527475,512.561145844365,1.00489494012644
"log_slope","fg4",1995,0.767859254,0.0022303701216163,0.0531550496597416,0.677021,0.7306225,0.7615505,0.79929525,0.887116,567.982793387593,1.00446440073142
"A","fg5",1995,0.132405739,0.000214329388685,0.00708239700478047,0.119912125,0.1273245,0.131898,0.137065,0.14736245,1091.9357488352,1.00231719611871
"b","fg5",1995,0.578960344,0.000180863977237361,0.0066154939385517,0.56556855,0.57451225,0.578784,0.583526,0.591987575,1337.8899704055,0.999620941958596
"k","fg5",1995,0.0142400615666667,2.47969629121265e-05,0.000874181819877467,0.0125523925,0.013628375,0.0142198,0.0148455,0.0159305225,1242.81519880586,1.003791503776
"x_max","fg5",1995,55.4717461666667,0.0944288561328623,3.34175497270389,49.541095,53.0848,55.34525,57.7142,62.64321,1252.39045264955,1.00403547535897
"y_max","fg5",1995,0.052856144,6.64086474724363e-05,0.0022616163528665,0.0487301925,0.05123865,0.05271125,0.05436655,0.0575951675,1159.81467915548,1.00305149792274
"log_slope","fg5",1995,0.844973911666667,0.000363865938762202,0.0132915073751361,0.818272075,0.83600275,0.844555,0.8541105,0.8713312,1334.33742220516,0.999622903115113
"A","unclassified",1995,0.0768988313333333,0.000555360558253033,0.0144411493577218,0.055770635,0.066809825,0.0746688,0.083972125,0.112530875,676.166193861223,1.00443132422944
"b","unclassified",1995,0.424721936,0.000986602729418764,0.0272621085172841,0.375478025,0.405463,0.4226735,0.44165,0.48356435,763.544334740376,1.00327558967347
"k","unclassified",1995,0.0149093674833333,0.000149342144107205,0.00401725365536743,0.008511839,0.01210385,0.01434965,0.017256325,0.0241485125,723.591980174966,1.00518655795398
"x_max","unclassified",1995,60.5991256,0.581896433313787,15.9451316538973,35.4425275,49.18375,58.72195,69.352,97.0182225,750.870130309413,1.00461717095175
"y_max","unclassified",1995,0.0416465119,0.000216405353762725,0.00570472503245456,0.032616675,0.03772155,0.04106305,0.0445603,0.0553218425,694.917791812335,1.00470366155114
"log_slope","unclassified",1995,0.566456834,0.0016361119974423,0.045030195380964,0.487344,0.53454175,0.5623755,0.593732,0.665628625,757.49819804172,1.00328713155615
"A","alltree",1995,0.213696641,0.000198434198555949,0.00508230910092891,0.2040206,0.21029575,0.213649,0.21700875,0.2243457,655.977746891814,1.00466707975139
"b","alltree",1995,0.640951253333333,9.85769398016838e-05,0.00257788214624761,0.635938825,0.63925775,0.64092,0.64261225,0.6460767,683.872993610048,1.00460883872222
"k","alltree",1995,0.00854979264666667,6.54016213048983e-06,0.000172610580345502,0.008206724,0.0084363825,0.00854916,0.0086640325,0.008907222,696.55882080003,1.00325923556217
"x_max","alltree",1995,89.4176860666667,0.0638563500064079,1.71434679954268,85.9961475,88.267425,89.3884,90.5269,92.938355,720.757516615747,1.00330550730096
"y_max","alltree",1995,0.0737624714666667,5.09575719372231e-05,0.00132102197821794,0.0711898875,0.0728696,0.07374535,0.074634325,0.07644024,672.051622332364,1.00429218325706
"log_slope","alltree",1995,0.975527863666667,0.000217890581714245,0.00570112937874105,0.964475625,0.97177475,0.9754465,0.97919375,0.986898575,684.612582687988,1.00463989808331
